System,Build version,Test cycle,Scenario,Step name,Count,Avg. latency (s),ResponseTime,Min (s),Max (s),90th percentile of resp. time (s),Avg. sent bytes,Avg. received bytes,Success count,Lower std. dev. of resp. time (s),Upper std. dev. of resp. time (s),Std. dev. (s),Error count,% Errors,Sent bytes per second,Received bytes per second
WPC,HTS2402,Jan-13,WPC_MSP_Request,WPC_MSP_Request,221,0.051,0.051,0.009,1.15,0.069,"1,474","7,812.12",221,-0.295,0.398,0.173,0,0.00%,45,240
WPC,HTS2402,Jan-13,VOLT_API_TV05_INT_ProductOrder_Transaction,VOLT_API_TV05_INT_ProductOrder_Transaction,84,0,0.099,0.021,1.114,0.162,"4,036.95",541.571,84,-0.294,0.493,0.197,0,0.00%,47,6
WPC,HTS2402,Jan-13,VOLT_API_TV04_ProductInvetory_Transaction,VOLT_API_TV04_ProductInvetory_Transaction,84,0,0.031,0.012,0.189,0.08,"5,952",858,84,-0.028,0.09,0.029,0,0.00%,69,10
WPC,HTS2402,Jan-13,VOLT_API_TV03_ProductOrder_Transaction,VOLT_API_TV03_ProductOrder_Transaction,84,0,82.98,0.205,241.09,240.038,"7,240","32,458.71",52,-94.306,260.266,88.643,32,38.10%,84,379
WPC,HTS2402,Jan-13,VOLT_API_TV02_CatalogManagement_Transaction,VOLT_API_TV02_CatalogManagement_Transaction,84,0,0.087,0.043,0.368,0.134,"1,765","1,27,738.48",84,-0.029,0.203,0.058,0,0.00%,21,"1,490"
WPC,HTS2402,Jan-13,VOLT_API_TV01_ProductOfferingQualification_Transaction,VOLT_API_TV01_ProductOfferingQualification_Transaction,84,0,63.086,0.191,121.272,120.222,"13,947.76","2,47,367.62",47,-44.71,170.881,53.898,37,44.05%,163,"2,886"
WPC,HTS2402,Jan-13,Reco_Data_Configuration,Reco_Data_Configuration,56,0.071,0.072,0.025,0.252,0.147,"1,602","2,309.34",56,-0.033,0.178,0.053,0,0.00%,12,18
WPC,HTS2402,Jan-13,Reco_API_Initialization,Reco_API_Initialization,55,0.112,0.112,0.019,1.14,0.089,"55,467.18",874.091,55,-0.444,0.667,0.278,0,0.00%,424,7
WPC,HTS2402,Jan-13,ROF_New_SinSub_MSP,26_ROFNew_SinSubMSP_OrdersummaryPage_Submitorder,31,0,0.492,0.136,3.653,1.234,"27,145.71","2,478.52",0,-1.106,2.091,0.799,31,100.00%,117,11
WPC,HTS2402,Jan-13,ROF_New_SinSub_MSP,25_ROFNew_SinSubMSP_customerappointmentPage_Clicknext,31,0,0.707,0.298,3.023,1.381,"28,346.55","5,629.26",31,-0.399,1.814,0.553,0,0.00%,122,24
WPC,HTS2402,Jan-13,ROF_New_SinSub_MSP,24b_ROFNew_SinSubMSP_Billingpage_Clicknext-2,31,0,0.006,0.004,0.012,0.009,"2,972.84","1,035.36",31,0.002,0.01,0.002,0,0.00%,13,4
WPC,HTS2402,Jan-13,ROF_New_SinSub_MSP,24a_ROFNew_SinSubMSP_Billingpage_Clicknext-1,31,0,0.007,0.004,0.014,0.009,"2,972.84","1,035.84",31,0.002,0.011,0.002,0,0.00%,13,4
WPC,HTS2402,Jan-13,ROF_New_SinSub_MSP,24_ROFNew_SinSubMSP_Billingpage_Clicknext_MonthlyInvoice,31,0,0.079,0.062,0.116,0.095,"4,263.68","2,341.81",31,0.055,0.102,0.012,0,0.00%,18,10
WPC,HTS2402,Jan-13,ROF_New_SinSub_MSP,23_ROFNew_SinSubMSP_ShippingPage_Clicknext,31,0,0.156,0.003,1.093,1.053,"4,135.52","23,649.39",31,-0.553,0.865,0.354,0,0.00%,18,102
WPC,HTS2402,Jan-13,ROF_New_SinSub_MSP,22_ROFNew_SinSubMSP_CreditinfoPage_Clicknext,31,0,1.167,0.005,4.593,3.941,"3,322.74","7,760.26",31,-2.094,4.428,1.631,0,0.00%,14,33
WPC,HTS2402,Jan-13,ROF_New_SinSub_MSP,21a_ROFNew_SinSubMSP_PCPage_clicknext_capped_popup_Confirm,31,0,3.575,0.045,63.886,9.016,"9,660.52","62,199.74",31,-20.498,27.648,12.036,0,0.00%,42,268
WPC,HTS2402,Jan-13,ROF_New_SinSub_MSP,21_ROFNew_SinSubMSP_PCPage_clicknext,31,0,11.758,0.484,95.947,29.117,"73,220.23","1,21,682.97",31,-35.166,58.682,23.462,0,0.00%,315,524
WPC,HTS2402,Jan-13,ROF_New_SinSub_MSP,20a_ROFNew_SinSubMSP_PCPage_Seamlessswitch_clcikconfirm,31,0,4.571,0.299,34.805,24.183,"37,545","65,683.03",31,-15.589,24.732,10.08,0,0.00%,162,283
WPC,HTS2402,Jan-13,ROF_New_SinSub_MSP,20_ROFNew_SinSubMSP_PCPage_Seamlessswitch_TransferMobility_Clicksave,31,0,0.921,0.01,6.753,1.926,"3,118.58","3,958.13",11,-2.39,4.232,1.656,20,64.52%,13,17
WPC,HTS2402,Jan-13,ROF_New_SinSub_MSP,19_ROFNew_SinSubMSP_PCPage_homephone_Select_lite,31,0,11.055,0.251,120.27,35.166,"36,283","61,550.23",30,-38.149,60.26,24.602,1,3.23%,156,265
WPC,HTS2402,Jan-13,ROF_New_SinSub_MSP,18_ROFNew_SinSubMSP_ROF_ApplyToOrder,31,0,16.681,2.55,73.08,69.945,"38,204.71","2,82,392.19",31,-27.627,60.989,22.154,0,0.00%,164,"1,216"
WPC,HTS2402,Jan-13,ROF_New_SinSub_MSP,17_ROFNew_SinSubMSP_ROF_MSP_Continue,31,0,0.775,0.489,2.156,1.551,"26,699.42","5,636.39",31,-0.138,1.689,0.457,0,0.00%,115,24
WPC,HTS2402,Jan-13,ROF_New_SinSub_MSP,16_ROFNew_SinSubMSP_ROF_MSP_SelectMSP,31,0,1.825,1.104,4.567,2.531,"30,723.97","6,792.29",31,0.187,3.464,0.819,0,0.00%,132,29
WPC,HTS2402,Jan-13,ROF_New_SinSub_MSP,15_ROFNew_SinSubMSP_ROF_AddOn_Continue,31,0,4.139,1.366,11.798,5.764,"35,556.61","9,469.74",31,0.256,8.022,1.941,0,0.00%,153,41
WPC,HTS2402,Jan-13,ROF_New_SinSub_MSP,14_ROFNew_SinSubMSP_ROF_RatePlan_Continue,31,0,2.33,1.432,5.657,3.644,"34,855.84","10,195.74",31,0.402,4.258,0.964,0,0.00%,150,44
